prices,available,address
€150 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Annakisha, Mallow, Co. Cork"
€225 weekly,"Available Now - - 3 bed semi detached house

- in immaculate condition 

- newly renovated home

- shared bathroom

- 10 min walk from wilton shopping centre cuh, dunnes, tesco, lidl, aldi,

- 2 min walk from 214 + 219 bus stop

- must ...","Westbury Estate Wilton, Wilton, Co. Cork"
€700 monthly,"Available 20th September - Room to rent monday - friday in spacious house, all mod cons. Nice patio area out back with seating etc. Car parking at property.","35 Chestnut Meadows, Glanmire, Co. Cork"
€650 monthly,"Available 1st October - A double bedroom is available in a charming 2-bedroom house located in a tranquil complex in youghal. This room is ideal for a quiet, non-smoking individual who values peace and privacy. The property is owner-occupied an...","Carleton Village, Youghal, Youghal, Co. Cork"
€750 monthly,"Available 28th August - Stylish double bedroom with en-suite located in broomfield, midleton. 5 min walk from the train station
5 min walk from green way
10 min walk to the town centre 
parking behind the gate (no dedicated space)
cul-de-sac 
n...","Holly Court, Broomfield Village, Midleton, Co. Cor, Midleton, Co. Cork"
€700 monthly,"Available 1st October - Beautiful spacious en-suite double room for rent near kennel hill within two miles of mallow town. House owner occupied-a family home. Preferably someone that needs a room for 4/5 days a week, ( important that the house ...","Navigation Road, Mallow, Co. Cork"
€500 monthly,"Available 1st September - Double room available in a  two - story, 3 bedroomed recently renovated cottage/farmhouse, sharing with one working professional in her 30s. House is located 2 minutes drive from exit 12 on m8, very short commute to mitc...","Mitchelstown,co. Cork, Mitchelstown, Co. Cork"
€150 weekly,"Available 1st October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Pembroke Wood, Passage West, Co. Cork"
€450 monthly,"Available 30th August - Large room available for rent in 3 bed house adjacent to mallow town centre. 2 tenants already in the property, both mid to late 20's. Parking available. Price does not include bills.","3 Laurel View, Castlepark, Mallow, Mallow, Co. Cork"
€550 monthly,Available Now - A new built with all the mod cons. In a peaceful estate and within walking distance of bantry town centre (10-15mins). Your own parking space.,"16 An Cncan, Milleencoola, Bantry, Co. Cork, Bantry, Co. Cork"
€550 monthly,"Available 16th October - Single room available from end of november 2024 for 6 months. Double room *1 person, available from october. Quiet and peaceful neighbourhood. It suits an extremely quiet, non-smoking, clean and tidy person. It is not a ...","Riverway South Douglas Rd, Ballinlough, Co. Cork"
€200 weekly,"Available 30th August - Room to rent in beautiful, clean and friendly home. Within  seven minutes walking distance to local bus route. Suitable for college student.","Herons Wood, Carrigaline, Co. Cork"
€420 monthly,"Available Now - Double room 500 monthly
single room 420 monthly. Bills - gas/electricity/bins extra. Security deposit required. House is owner occupied. No smoking house & no pets
24 hour bus stop one minute walk. Free wifi and free to ...","Carrig Na Curra, Carrigaline, Co. Cork"
€250 weekly,"Available Now - Situated just off the n25, this is a lovely bright room with the comfiest bed located in a quiet estate away from all the traffic noise. 32"" smart tv and desk in the room also. House is shared with owner and dog, who is ...","Castleredmond Estate, Midleton, Midleton, Co. Cork"
€150 weekly,"Available Now - All bills included in price. New house with wifi and all mod cons,2 living rooms,2 power showers and 1 electric shower. Esb,water,heating oil,bins,coal and timber are all included in price. The house is 45 min from cork,...","P56 Kh76, Freemount, Co. Cork"
€550 monthly,Available Now - Spacious double room available in a house located 8minute drive from macroom town & 35minute from cork city. Please include relevant information about you in your application.,"Kilbarry, Macroom, Co. Cork, Milleen, Co. Cork"
€610 monthly,"Available 8th September - Located in the growing village of watergrasshill, the house is situated 10 minutes from the jack lynch tunnel. The 245 bus is a 2 minute walk from the front door but it is recommended that a tenant can drive for this loc...","The Hamptons,ard Cashel,watergrasshill,cork, Watergrasshill, Co. Cork"
€650 monthly,Available 1st September - Double room for rent in ballinglanna glanmire- new build home with all appliances in place. 5 mins walk to glanmire village- 5 mins to little island or tunnel. Sharing with two others in 3 bed house and sharing bathroom ...,"Church Green Ballinglanna, Glanmire, Co. Cork"
€500 monthly,"Available 1st September - Small double room for rent. Room is for 5 or 7 day rental- please specify which is preferred. Rent is €500 (€450 if 5 day rental)

new build house with all appliances. Shared bathroom with one other person. 5 m...","Church Green, Ballinglanna, Glanmire, Cork, Glanmire, Co. Cork"
€220 weekly,Available Now - 1 double bedroom is available in a spacious apartment. Great city center location.,"Cornmarket Street, City Center, Cork City Centre, Co. Cork"
