prices,available,address
€900 monthly,"Available 1st September - Double room with ensuite available to rent to a female in a family home in a quiet cul de sac. Desk (not included in pictures) will also be provided. Located in ballincollig, 1 min to bus stop with bus routes to ucc and ...","Aylsbury, Ballincollig,cork, Ballincollig, Co. Cork"
€400 monthly,"Available 1st September - One double bedroom  to let in a shared house. There are currently two tenants living here. The bedroom is very spacious. It has a wardrobe, desk and a sink. Rent includes bins, electricity is divided between the tenants....","Larchfield Rise, Youghal, Co. Cork"
€500 monthly,"Available Now - Spacious double room available in modern house, with adjoining private sitting room. Mallow town is 3km away and is a 5 minute drive. Scenic, peaceful countryside location.","Ballyviniter Middle, Mallow, Co. Cork"
€800 monthly,"Available 1st September - Large double room with en-suite in duplex house available to rent to one person


large wardrobe and drawer space
less than 10 minute walk from main street midleton 
5 minutes to train station 
short drive to a var...","Broomfield Village, Midleton, Co. Cork, Midleton, Co. Cork"
€520 monthly,"Available 2nd September - House is a 15mins walk from maccurtain street, city centre. Single room in a quiet house. It would suit a student. Please text with a brief description.","4 Saint Johns Terrace, Old Youghal Road, St.lukes, Cork City, Co. Cork"
€750 monthly,"Available 1st September - Cosy, bright and comfortable private bedroom with shared bathroom in quiet family four bedrooms and three bathrooms house. The guest is granted access to common areas: kitchen, living room, garden, etc. The house is full...","Clover Hill - Kilnagleary, Carrigaline, Co. Cork"
€700 monthly,"Available 5th October - Owner occupied, 10 minute walk from the cuh and wilton shopping centre. Luxury bedrooms with own ensuite.","9 Richmond Elmvale Wilton Cork, Wilton, Co. Cork"
€600 monthly,"Available 15th September - Located ten minutes outside the city centre, halfway between the marina market and oliver plunkett street. Quiet community neighbourhood close to kennedy park on blackrock road.","23 Geraldine Place, Albert Road, Cork, Blackrock, Co. Cork"
€175 weekly,"Available 1st October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Station Road, Carrigaline, Co. Cork"
€160 weekly,"Available 2nd December - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Newtown Road, Cobh, Co. Cork"
€590 monthly,"Available 4th September - For rent monday to friday only spacious double room in modern house. On 206 and 219 bus route. Friendly 
owner occupied... Rent 590 per month th.. Including all bills.","14 Glencurrig, South Douglas Road, Cork, Cork City Centre, Co. Cork"
€120 weekly,Available 1st September - Private detached house in the countryside plenty of parking space large rooms. This house isin country side and has no public transport near it and all tenants are working so own transport needed. No pets. Please leave a...,"Woodview Ballyvongane Coachford, Coachford, Co. Cork"
€500 monthly,Available Now - Double room available immediately. Very close to town. All mod cons. Strictly non smoking. Contact by text or voicemail only.,"Castlepark, Mallow, Co. Cork"
€850 monthly,Available 1st September - Great location near city centre with spectacular views of cork city. Own private  room in very quiet surroundings. Near griffith college and cork english college and colleges on wellington road and patricks hill minutes ...,"Bellevue Park, St. Lukes, Co. Cork"
€750 monthly,"Available 9th September - Hi there!

i am renting out one double room in my house, which is located in a lovely cul-de-sac 15-minute walk from blackpool shopping centre and 30-minute walk from english market. The rent includes all the bills (bins...","T23 Wp82, Blackpool, Co. Cork"
€850 monthly,"Available 2nd September - Reldare, model farm road, a fabulous development by o'callaghan properties. It is a detached 4 bed home. It is a quite park with familes around. Conveniently located on the model farm road, reldare sits overlooking the g...","Reldare Estate,model Farm Road,carrigrohane,cork, Raheen, Co. Cork"
€125 weekly,Available 1st September - Double room to rent midweek (sun - thur or mon - fri) for an initial period of 6 months. House is owner occupied by a male / female couple who are familiar with house sharing and both working full time. There is a small ...,"Marwood Glanmire, Riverstown, Co. Cork"
€192 weekly,Available 13th September - In timoleague village with views of the bay ( atlantic). Detached house which operates a bnb business.,"Panorama House,chapel Hill,timoleague,co. Cork, Timoleague, Co. Cork"
€707 monthly,"Available 1st September - Looking for a housemate!

we're on the lookout for a responsible housemate to join our cosy home - (being responsible is key). Our place is a 3-bedroom apartment located close to kino in washington street. The available ...","Little Hanover Street,cork, Cork City Centre, Co. Cork"
"€1,200 monthly","Available Now - Dear, 1 twin room and 1 double room available in a 2 bed house. Newly furnihsed and very close to city center.","27 Dunbar Street, Cork, Cork City Centre, Co. Cork"
