prices,available,address
€950 monthly,Available 1st September - Large south facing bright double ensuite bedroom available septyember 1st in newly tastefully renovated property including new carpets bed mattress and furniture to suit clean quiet and responsible male. Property is 5 mi...,"Rathmore Village, Tyrrelstown, Dublin 15"
"€1,050 monthly","Available 31st August - Pictures to follow:
a live-in carer required for a (currently independent) elderly lady in dun laoghaire area. Comfortable private bedroom with tv and high speed wifi. Seeking a kind, friendly and caring person with rele...","Silchester Park, Glenageary, Co. Dublin"
€800 monthly,"Available 26th August - Newly refurbished house to an excellent standard, including kitchen, sitting room, dining room and garden with all modern conveniences. On street parking in quiet cul-de-sac. Bedroom with ensuite private bathroom €9...","Hartstown, Dublin 15, Hartstown, Dublin 15"
€210 weekly,"Available Now - The whole house will be only shared between you and one other tenant!

large, comfortable double bedroom available immediately in a spacious, quiet house located in a friendly and safe neighbourhood. House is well locate...","Cardiffsbridge Avenue, Dublin 11"
€875 monthly,"Available Now - Spacious bedroom with ample storage available in a friendly, shared home with three others. The house has a big garden, parking for two cars, and modern amenities. Shared kitchen and living space downstairs. Conveniently...","Oatfield, Clondalkin, Dublin 22"
€800 monthly,Available 1st September - Double bedroom available to rent + all bills included. From the first of september for long a term stay. The apartment is situated in saggart not far from saggart village. Luas station and many bus routes nearby for anyo...,"Millrace Garden, Saggart, Co. Dublin, Saggart, Co. Dublin"
€700 monthly,"Available 1st October - Are you looking for a comfortable place to call home in dublin/dundrum? We have a fantastic room available in a spacious 2-bedroom ensuite apartment, located in a great  neighbourhood with excellent amenities and transpo...","Dundrum, Dublin 14, Kilmacud, Co. Dublin"
€700 monthly,"Available Now - Both single and double bedroom are south facing on to quiet garden to rent for at least 6 months

single room available immediately
double room available from sat 14th september

your own large bathroom (sharing with 1 o...","Pelletstown Avenue, Ashtown, Dublin 15"
"€1,050 monthly","Available Now - **please email with details of the proposed tenant to arrange a viewing**

- double room in 1st floor apartment 
- apartment in excellent condition
- shared with one other occupant (landlord)
- rent includes all bil...","Double Room To Let, Stepaside, Dublin 18"
€875 monthly,"Available 1st September - Double room with own bathroom available to rent. Living in a lovely residential area with amenities nearby. Close to 15/15b and parking space available too. 5-10 minute drive to m50, 10 minute drive to rathfarnham and 20...","Stocking Avenue, Rathfarnham, Dublin 16, Knocklyon, Dublin 16"
"€1,087 monthly","Available Now - One double bed, large wardrobe, en-suite. Location: vantage apartments, central park, dublin 18
_____________________________________________
vantage local area & building amenities:
- immediate access to central park lu...","Building 2 Vantage East,central Park,dublin 18, Leopardstown, Dublin 18"
€225 weekly,Available 1st September - Room available to rent in a 2 bedroom ground floor apartment. Double room with private bathroom. Property is owner occupied by 1 female who works from home. This may ideally suit an erasmus student living in ireland for ...,"Cruagh Manor, Stepaside, Dublin 18, Kilternan, Dublin 18"
"€1,512 monthly","Available 1st September - Double room with private bathroom for two people, on the ground floor in a 2 bedroom apartment with balcony. The photos speak for themselves, the apartment is very recent and in excellent condition. The mount argus resid...","3 The Weir, Mount Argus Mill, Dublin 6w, Harold\'s Cross, Dublin 6w"
€900 monthly,Available Now - Lovely and bright double room available in a 2-bed apartment in northwood santry - gay friendly. The apartment is owner occupied and we have a small dog and the apartment  is kept very clean and organised. The room is ve...,"Northwood Santry, Cloghran, Co. Dublin"
"€1,100 monthly","Available Now - Clean, modern apartment ideally situated in a quiet part of the city centre. This apartment is in a quite complex with a large communal garden and within walking distance to city centre / tcd.","Apartment 87 , Windmill Lane Apartments, Windmill, Grand Canal Dock, Dublin 2"
€165 weekly,"Available Now - Monday to friday only. Three bedroom, semi-detached property located on a quiet road of only 10 houses. Large room available for rent with a king size bed, fitted wardrobes, bedside lockers, blackout blind and a small de...","Hollystown, Dublin 15"
€950 monthly,"Available 15th September - Double bedroom to share in a brand new property , the house is clean, spacious, and quiet.. Location: citywest, fortunetowns lane, d24
minimum rent duration: 6months or more. Living room with tv netflix and kitchen fully...","Citywest Village,dublin 24, Citywest, Co. Dublin"
€900 monthly,"Available Now - Large double bedroom with space to store own fridge, air fryer and private living room area. Close to parks and good public transport. Quiet established neighbourhood.","Allenton, Firhouse, Dublin 24"
€800 monthly,"Available 5th September - Double room  to let in 5 bedroom house. 15 min drive to dublin airport. Close to donabate village. Quiet house. No pets or smokers. Sharing bathroom with 2

prefer no car

bills not included 


**** whats app - text only...","134 Carrs Mill, Donabate, Co. Dublin"
€800 monthly,"Available 31st August - Two double rooms available in a terraced house with a large garden and kitchen. Location: stocking wood copse, stocking avenue, rathfarnham  (dublin 16). At the foot of the dublin mountains, near lots of great hiking and...","27 Stocking Wood Copse, Stocking Avenue, Rathfarnham, Dublin 16"
