prices,available,address
"€1,100 monthly","Available Now - Newly built and fitted attic en-suite room. Located in a residential area near ikea. Dcu is 15 minutes away by bus. Shops/amenities  nearby:
park/playground - 1 minute walk
charlestown shopping centre - 15 minute walk
od...","23 Mayeston Drive, Saint Margaret's Road, Dublin 11"
€650 monthly,"Available Now - Double room

all bills included

fast 1gb internet 
3 toilets 
close to 24hr bus stops
200m from penny hill pub 
lidl and take away 200m
cctv
secure steel shed for bicycle storage
large double fridge with filtered water ...","Castle Riada Drive,lucan,co. Dublin, Lucan, Co. Dublin"
€850 monthly,"Available Now - Immediate letting 
large bright attic room. C/w sofa, double bed, wardrobe storage space and 2 shelf units and locker. Located in a quiet area. Room takes one person, rooms available within a well presented 6-bedroom pro...","50 Cherryfield Avenue, Walkinstown, Dublin 12, Ire, Walkinstown, Dublin 12"
€700 monthly,"Available 1st September - 1 room available in a shared house. 1 single room: 700ÃÂ€ per month. Electric and gas to be shared equally by occupants. Energy efficient apartment (b3 ber rating. )

location: woodbrook square, porterstown, dublin...","Woodbrook Square, Dublin 15, Carpenterstown, Dublin 15"
"€1,200 monthly","Available Now - A room to rent in a stunning property in the beautiful leafy suburb of donnybrook/ballsbridge 

male/female housemates required, to share house. Room available immediately. Located on anglesea rd, ballsbridge. Fantasti...","Anglesea Rd, Ballsbridge, Dublin 4"
€800 monthly,"Available Now - Double bedroom for rent with all bills included on tallaght 
monthly rent :800e
1month deposit up front when moving*no pets*no +1's*no smoking person
apartment is located on tallaght square with great public ansport and ...","Tallaght Square, Dublin 24"
€850 monthly,"Available Now - Short term only - 6 months

double room available in 2 bedroom apartment in well established neighbourhood in knocklyon. Owner occupied looking for a female who wishes to stay full time or certain days during the week al...","Dalriada Close, Dublin 16, Knocklyon, Dublin 16"
"€1,250 monthly","Available 2nd September - Spacious furnished room in castleforbes square, dublin 1 - ideal for hybrid work. The room:
this large, fully furnished room offers everything you need for comfort and productivity. It features a cozy queen-size bed, a s...","Block D, Castleforbes Square, Dublin 1, IFSC, Dublin 1"
"€1,260 monthly",Available 25th August - Please read carefully before sending your request. Not open for couples - single tenancy only. Large en-suite double room available in a 2bed shared apartment. The room is sub-let from previous tenant. If you're interest...,"Kelston View, Foxrock, Leopardstown Road, Dublin 18, Foxrock, Dublin 18"
€850 monthly,"Available 16th September - Spacious 3rd floor bedroom in semi detached home. Friendly neighbourhood with ample public transport to city centre and wider dublin area. Shopping centre, supermarket gym and park all close by. House consists of 3 bedro...","108 Whitethorn Drive, Palmerstown, Dublin 22"
€800 monthly,"Available 1st September - Double room to rent in shared house with 1 other female and family dog. Quiet residential area a short walk from the square, very handy for bus and luas. Also short walk to the it and hospital. Double room with shower ro...","Cois Na Habhann, Tallaght, Dublin 24"
€200 weekly,"Available Now - Large double room to rent in spacious, clean, fully furnished 2 bedroom apartment in a quiet estate in stepaside. Free parking available. Great location, walking distance to stepaside, 

3 minute drive to m50

10 minutes...","Cruagh Manor, Stepaside, Kilternan, Dublin 18"
€800 monthly,"Available Now - Nice double room with private shower to rent in waterville - blanchardstown. We have a bright double room to rent, in a nice modern, quiet easy going area  house in waterville.. Parking available if you have a car. Close...","Annagh Court, Waterville, Dublin 15, Dublin 15"
€600 monthly,"Available Now - ****available sunday evening to friday afternoons only****

double room available from 1st august 2024 in a family home. Owner occupied (female + 1 child)   

individual applicant/female only. Working professional - woul...","Glenvara Park, Knocklyon Dublin 16, Knocklyon, Dublin 16"
€900 monthly,"Available Now - *one spacious double room available*

*internet bill included*  

the brand-new, a2-rated, 4-bedroom home in kilcarbery, dublin 22, is finished to an exceptional standard and ready for you to move in. Situated in a quiet...","19 Hawthorn Way, Kilcarbery Grange, Dublin 22, Dublin 22"
€800 monthly,"Available Now - Large ensuite bedroom for rent €800 for one female only excluding bill. 1 super king bed, couple of built in wardrobes in the room. Kitchen, dining living room need to share with existing family. Available bus stop ...","196 Glasanaon Road, Finglas, Dublin 11"
"€1,200 monthly","Available Now - Fully furnished 1st floor, 3 double bed apartment with 2 baths available immediately. Single room is currently occupied. The other two double rooms are ready for renting. One of them is en-suite. Apartment has been newly...","Apartment 102 , Block 1, Gracepark Manor, Swords R, Whitehall, Dublin 9"
€170 weekly,"Available Now - Dublin host families are proud to offer a lovely bedroom in this stunning semi detached property located only 9 kilometres from dublin city centre. Ideally located close to grange castle business campus, clondalkin villa...","Cherrywood Grove, Clondalkin, Dublin 22"
"€1,200 monthly",Available Now - 1 double room with en suite.... Very clean and spacious.... 1 double room..... Contact by phone 0860834638,"Melesian Lawn, Swords, Co. Dublin"
€750 monthly,"Available 1st October - Room available for 6 month contract, there may be an option to extend. Clean comfortable end of terrace house in a quiet estate. Good bus links , 10 minute walk to shopping centre. Close to airport. Secure garden with pa...","Castlecurragh Heath, Mulhuddart, Dublin 15"
