prices,available,address
€600 monthly,Available 23rd August - Room for rent in clondalkin,"Westbourne Park, Clondalkin, Dublin 22"
€700 monthly,"Available 1st September - Nice sunny warm big enough rooms with a  wardrobe  or a cupboard, a big window. There is a bathroom to share with a bath and a shower. There are three  fields and running tracks beside,  5 bus roots  to the centre, to ea...","7, Glenlyon Cressent Ballycullen Rd, Firhouse, Dublin 24"
€700 monthly,"Available Now - Single bedroom to rent close to alot of amenities, if you would like more info please call/text.","63 Anner Road, Dublin 8, Kilmainham, Dublin 8"
€850 monthly,"Available 1st September - Three bedroom newly built house with ample of space with attached bath room is available to rent in muileann, kinsealy, swords,  co dublin. House is currently owner occupied. The house comes with 3 bed rooms and 3 bath r...","Muileann, Kinsealy, Swords, Swords, Co. Dublin"
"€1,175 monthly","Available 2nd September - En-suite room in a spacious, bright and warm apartment in a friendly and quiet neighbourhood. 15 min walk to luas stop, 5 min walk to bus stop. Carrickmines shopping center - 10 min walk. Leopardstown shopping center - 3...","Cairnbrook, Dublin 18, Carrickmines, Dublin 18"
€130 weekly,"Available 31st August - Single room available 
monday to friday 130. 00 per period. Sun evening to friday morning 140. 00
full week. 150. Oo per period. Bills extra
separate kitchen to owner
total 3 sharing. Close to no 1 bus. Very quiet house....","Shanliss Drive,dublin 9, Whitehall, Dublin 9"
€600 monthly,Available 6th September - Lovely 5 bedroom detached house in a very quiet estate. 2km from dcu so ideal for a student. Sharing with 3 young professional women. Sunday to friday only. Strictly non smoking. Please send an email with some informatio...,"Pinewood Crescent,dublin 11, Poppintree, Dublin 11"
€800 monthly,Available 31st August - Room to rent to a female student from end august/sept 2024 until end of june 2025. Must be a non-smoker and like dogs as there are two dogs in the home. First months rent in advance and one months deposit is required. Ho...,"Hartstown,dublin 15, Hartstown, Dublin 15"
"€1,200 monthly",Available 31st August - Perfect clean no smoking free gym and cinema comunel areas work from home offices very quiet aria park right next to apartment,"Apartment 407 , The Griffin, One Three North, Marr, Clongriffin, Dublin 13"
€410 monthly,"Available 30th August - One single room available in a house located in clonsilla, dublin 15. It is a nice and quiet area within walking distance of main bus routes and clonsilla train station (10 min walk). Blanchardstown shopping centre is a ...","Charnwood Park, Clonsilla, Dublin 15, Clonsilla, Dublin 15"
€650 monthly,"Available 1st September - Single bedroom located in nice northwood development with santry park close by. Gullivers retail park and omni shopping mall in walking distance, multiple bus lines(10 minutes walk) into city center. Ben dunnes gym 10 mi...","Parklands, Northwood, Dublin 9, Cloghran, Co. Dublin"
€230 weekly,"Available 24th August - Rooms to rent comprise bedroom com dining,separate kitchen area ,separated wc ,who and shower, hotpress area,own door access. Self contained unit.","36 Rocwood, Galloping Green, Blackrock, Co. Dublin, Foxrock, Dublin 18"
€800 monthly,"Available 1st September - Single bedroom in owner occupied house. Available from: end of august 2024, 7 days a week. The owners / hosts are a mature couple, semi-retired and they maintain a clean, tidy home. The house is also home to a small dog ...","Coolgreena, Beaumont, Dublin 9"
€700 monthly,"Available 24th August - Single en-suite room, 2 minutes to glasthule dart station. Suitable for southside and city centre colleges.","Glasthule / Dun Laoghaire, Glasthule, Co. Dublin"
€750 monthly,"Available 1st September - Single room available for rent. We are looking for a long term housemates, for a single bedroom in a four bedroom house, with three toilets, a nice kitchen, and a large backyard. En-suite rent is 1200€/month. Single...","Saint Edmunds , Lucan, Co. Dublin, Lucan, Co. Dublin"
€850 monthly,"Available Now - 1 single room to let in ranelagh village sharing with 2 other tenants. House is newly refurbished and is a quiet house
it will suiit a quiet tidy individual. Non somkers only. References essential
bills shared.","103 Ranelagh Village, Ranelagh, Dublin 6"
€180 weekly,"Available 6th November - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Belcamp Lane, Priorswood, Dublin 17"
€200 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Tyrrelstown Way, Tyrrelstown, Dublin 15"
€225 weekly,"Available Now - Single room avlble accessibke to city center,airport ,blanchardstown  
 shopping mall by bus route or train. Small stores like tesco and dunnes ,walking distance only. Cappagh and st james connolly hospital. , one bus aw...","31 Heathfield View, Dublin 11, Finglas, Dublin 11"
€600 monthly,"Available Now - The bedroom:

single bed
1 built in wardrobe
desk and chair
internal insulation so easily heated

bins included, all other bills not included 

contact by email only, can arrange a call and viewing then 

the ...","Riverlodge, Firhouse Road, Firhouse, Dublin 24"
