prices,available,address
€650 monthly,Available 23rd August - This is a calm and relaxed  2 bedroom apartment with one double room available to rent. Monday to friday only for 9+ months ( academic term) sharing with professional female. Unfortunately i cannot respond to 7 day reque...,"Cuirt Seoige, Bohermore, Co. Galway"
€700 monthly,"Available 1st September - Double room with plenty storage space,, with built in wardrobe, available in a 3-bed warm cosy house. Sharing with two professionals in a quiet house. The house is less than10 minutes' walk to tuam town centre and all of...","85 Athenry Road, Tuam, Co. Galway"
€600 monthly,"Available 1st September - Double en-suite room newly refurbished €600 per room per month. On the parkmore bus route to atu and city centre for ug
large bedroom, plenty of parking space. Very close to dunnes stores. Please email with some inf...","Briarhill Galway, Briarhill, Co. Galway"
€800 monthly,"Available 31st August - Double room,  - ensuite, and with own kitchenette with new applicances. Room is situated in a well presented house located in a popular residential estate. Property is situated within mins walk of ard ri house hotel, tua...","Black Acre, Tuam, Co. Galway"
€143 weekly,"Available 1st September - ***male accommodation***

en-suite double bedrooms available in rahoon for the full academic year. Excellent location - walking distance to nuig. Suitable for 2nd, 3rd or 4th nuig students.","Rahoon, Rockfield Park, Rahoon, Co. Galway"
€140 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Kilcornan, Athenry, Co. Galway"
€180 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Ashbrook, Oranmore, Co. Galway"
€150 weekly,"Available 25th August - Spacious ensuite room(s) for single/twin occupancy in a newly built home. Available from sunday evening to friday morning for academic term. Suitable for female occupant. (twin beds a possibility for twin occupancy, fema...","Truskey West, Barna, Barna, Co. Galway"
"€2,600 monthly",Available 2nd September - This a unique property in one of the newest luxury developments in galway city located on the 1st floor of block a. The property is designed to the highest specifications with top quality finishes throughout. The propert...,"Block A, Fanan, Letteragh Road, Rahoon, Galway, Letteragh, Co. Galway"
€490 monthly,"Available Now - **this room is only available sunday night to friday morning/afternoon**

bright, modern, warm, quiet, comfortable house with large double room available. Situated in the heart of claregalway, within minutes of shops, ho...","An Mhainistir, Claregalway, Co. Galway"
€500 monthly,"Available Now - Spacious double bedroom for rent in claregalway. Shared bathroom. Sharing with 1 male and 1 female, both working. Situated in a quiet estate, 5 mins walk from shops & 8 mins from bus stop with regular buses into city. &e...","Cúirt Na Habhainn, Claregalway, Co. Galway"
€165 weekly,"Available 8th September - 7 day rental , weekends included , bills included. No12 whitestrand - all rooms large c/w smart tv  & en suite

available rooms x 6 

room 1.2. 3 
double bed en suite 300 euro  per room per week en-suite 

room 4.5. Twin...","*boutique Accomadation Galway City**, Salthill, Co. Galway"
€200 weekly,"Available 8th September - 131 college road is a newly renovated 4 bedroom house, 1 en suite and another main bathroom on the first floor. Bedrooms 1,2,3 are on level 1 and bedroom 4 is on the top floor. Views of the lake from the front of the pro...","**boutique Student Accommodation 2024/25 Galway City**, Bohermore, Co. Galway"
€150 weekly,"Available 1st October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Gleann Dara, Knocknacarra, Co. Galway"
€150 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Clifden Road, Oughterard, Co. Galway"
€600 monthly,"Available 1st September - Double bedroom available in the heart of ballinasloe town, walking distance from all of the towns amenities. This town house has recently been refurbished to a high standard while keeping its traditional feel and charm. ...","Glenavon House ,main Street, Ballinasloe, Co. Galway, Ballinasloe, Co. Galway"
€170 weekly,"Available 31st October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Parklands, Athenry, Co. Galway"
€700 monthly,"Available 1st September - Newly renovated property. Double room with ensuite available. All mod cons. Walking distance from tuam town and bus stop to galway city. Wifi and bins included. Electricity and oil not included. No parties 
no smoking","Palace Fields, Tuam, Co. Galway"
€432 monthly,"Available 6th September - Rahoon area. Double en-suite available from the 6th of september. Three females in their late twenties , early thirties currently in the house. Rent is 432. 50 per month including bins. Not including esb, gas or internet...","29 Rosan Glas, Rahoon, Co. Galway"
€500 monthly,"Available 1st September - Sunday evening to friday lunchtime (no weekend stays)
1 x bedroom available for rent in athenry. Quiet house in quiet estate. 10 min walk to train station. 3 min drive to motorway, would suit someone based in east galway...","Abbey Glen, Athenry, Co. Galway"
