prices,available,address
€525 monthly,"Available 2nd September - Large spacious house in hazel park 
near nuig and hospital
there are 2 bus routes very close","Hazel Park, Newcastle, Galway, Newcastle, Co. Galway"
€405 monthly,"Available 1st September - Single room (double bed) for rent in 4 bedroom house in roscam. Living with 3 female working professionals in mid-late 20's. Esb, gas, bins, tv & internet split evenly among tenants. Please email with a bit about yoursel...","Ros Caoin, Roscam, Galway, Roscam, Co. Galway"
€400 monthly,Available 8th September - Single room available in large 3 bed apartment. Sharing with 2 girls. Bathroom shared with 1 other girl. All mod cons. Parking. On bus route. Non-smokers only. Females only... Late 20s/ early 30s. Please include a brief ...,"Roscam House, Roscam, Co. Galway"
€600 monthly,"Available 1st September - Newly renovated 3 bed end of terrace house in quite estate in ballybrit. 10/15 mins walking distance to atu,briarhill shopping centre and parkmore. Also 15 minute bus ride from bottom of estate to city centre. For studen...","Ballybrit, Ballybrit, Co. Galway"
€140 weekly,Available 21st August - 3 rooms available for college term. Need car as no bus service available. Non smokers only. All bills included in rent.,"Caherfurvaus, Craughwell, Galway, Craughwell, Co. Galway"
€500 monthly,"Available 1st September - Single room 500euro per month. 15 minute walk from parkmore bus route to atu and city centre for galway university. Suitable for person with own transport mode, plenty of parking space. Close to dunnes and lidl. Please e...","Dun R, Coolagh, Briarhill, Galway, Briarhill, Co. Galway"
€125 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Aille, Inverin, Co. Galway"
€750 monthly,Available 24th August - Quiet and clean. 25 minutes walk from city centre,"3 Mcdonagh Avenue, Mervue, Galway, Mervue, Co. Galway"
€200 weekly,"Available 1st September - Modern semi-detatched home in a safe & quiet neighbourhood. All mod cons. Sole use of family bathroom. On city centre, nuig & uhg bus route. 10 mins by bike. Adajecent to lidl & aldi.","Sliabh Ard, Knocknacarra, Co. Galway"
€220 weekly,Available Now - Single en-suite room  available to rent inclusive of bills.,"Tirellan Heights, Headford Road, Co. Galway"
€250 monthly,"Available 1st September - To answer the most common question i am asked. The rent is 250 per month not per week, thanks. I am aware that this is lower than your typical prices during this ongoing housing crisis. House is quiet and clean with 4 wo...","19 Merlin Gate, Merlin Park, Galway, Murroogh, Co. Galway"
€200 weekly,"Available 8th September - 131 college road is a newly renovated 4 bedroom house, 1 en suite and another main bathroom on the first floor. Bedrooms 1,2,3 are on level 1 and bedroom 4 is on the top floor. Views of the lake from the front of the pro...","**boutique Student Accommodation 2024/25 Galway City**, Bohermore, Co. Galway"
€580 monthly,"Available Now - Single room to let in large, cosy house, sharing with others. Excellent  facilities and modern conveniences such as broadband, dishwasher, dryer, tv, oil fired central heating, sitting room including cosy stove and nice ...","44 Hazelwood Grove, Taylors Hill, Salthill, Co. Galway"
€950 monthly,"Available 1st September - The property is situated in a quiet residential area adjacent to city bus stops/supermarket/parks & 20 minutes walk from the sea. As per photos ,the room  is bright ,clean and comes with sole  use of modern bathroom. The...","Seacrest, Knocknacarra, Galway, Salthill, Co. Galway"
€180 weekly,"Available Now - Well located house close to all amenities. Convenient to bus/train station, eyre square, atlantic language school. Close to bus stop for mervue and gmit. It is within walking distance of gti and nuig/uchg. Limited parkin...","Forster Court, Galway, Bohermore, Co. Galway"
€675 monthly,"Available Now - Ground floor room available in recently renovated detached home. Short walk from bus and train stops, shops and local village. Large garden and parking. Room includes television and study desk. Rate includes internet,  t...","Coast Road,oranmore,galway, Oranmore, Co. Galway"
€679 monthly,Available Now - As you can see from the photos this fine big rolling property provide s ample space for sharing of common areas. The place is has two kitchen s and is a bungalow with its grounds. The property is suitable for young peopl...,"Coismeigmor, Furbo, Co. Galway"
€650 monthly,"Available 1st September - Carnmore, galway

single room to rent in carnmore area. This house is 20 minutes walk from parkmore and briarhill shopping center and bus stop. Looking for friendly housemate. Please text or email with your brief details...","Carnmore, Carnmore, Co. Galway"
€100 weekly,Available Now - Short term or long term (mon to fri). All mod cons including broadband. Oilfired heating. All bills included in the rent (incl esb and oil). Convenient location for those on eastern side of the city / city center and loc...,"Tearmann Eala, Renmore, Co. Galway"
€140 weekly,"Available 2nd September - Viewing by appointment from monday the 21st august 24

student serviced accommodation
atu/gmit

please read the details in this listing fully before contacting us -

we are offering 5 day per week serviced accommodation ...","Dublin Road, Merlin Park, Co. Galway"
€750 monthly,"Available 1st September - Room available at 750/month. Rent includes electricity, wifi, bins, heating, and common area cleaning. Please contact for more details. Thank you.","Danesfort Court,loughrea,co. Galway, Caheronaun, Co. Galway"
€180 weekly,"Available Now - Room in a shared house with 2 other tenants. Use of all facilities listed electricity,heating wi-fi included and refuge. Two minutes walk to joyce's. Bus stop right outside. Rooms available for short or long term lease. ...","Woodview, Knocknacarra, Co. Galway"
€180 weekly,"Available Now - Large room  for one mature on quite house in cul-de-sac ,
close to salthill, tesco church. All mod cons, oil heating. No smoking house. Private back-garden great bus service every half hour/
bus stop outside, close to ...","Woodview Court,knocknacarra , Galway, Knocknacarra, Co. Galway"
€150 weekly,Available Now - Double and single room available in a lovely house in a quiet estate in tuam town centre with all amenities on the doorstep including lidl.,"The Birches, Tuam, Co. Galway"
€235 weekly,"Available 28th August - All-inclusive rates & flexible payment conditions applied. Winter months 2024 -  last single room available! 
guests are accommodated in fully furnished rooms (ensuite if available) and share toilet facilities, a large ...","Gleann Rua, Renmore, Renmore, Co. Galway"
