prices,available,address
€700 monthly,"Available Now - I am a professional irish male currently living in a new apartment in rochestown cork. It is in a beautiful area and has great surrounding amenities. The apartment is new, clean and comfortable. The room has a single bed...","Mount Oval Granary Hall Roachestown, Douglas, Co. Cork"
€525 monthly,"Available 25th August - Bright large single room to share with two female professionals. The house  is in a quite residential area, near a bus stop. Rent includes refuse charges and all other bills will be shared equally. Deposit of €300. ...","Maryborough Woods, Douglas, Co. Cork"
€140 weekly,Available 15th September - Located in the heart of macroom town. Walking distance to all amenities. Fully renovated clean house with quiet tenants working full time. Includes fiber broadband.,"91 New Street, Macroom, Co. Cork, Macroom, Co. Cork"
€750 monthly,"Available 1st September - From  1st september 2024, spacious single  room available  in period house adjacent to ucc. Sharing with 6 other females. All modern facilities, 
*high speed wireless internet (available throughout the house)  wide range...","Connaught Ave, College Road, (adjacent Ucc), Cork City Centre, Co. Cork"
€115 weekly,"Available 1st September - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","The Meadows, Mogeely, Co. Cork"
€550 monthly,"Available 25th August - Room is available mid-week and not on weekends: **sunday evening to friday morning. ** 

please do not enquire unless the above will work for you. Lovely spacious home with all modern conveniences one expects, close to c...","St Christopher's Walk, Montenotte, Co. Cork"
€525 monthly,"Available 1st September - Single bedroom to rent in 3 bedroom house. There is a large living room, kitchen, 2 bathrooms and a garden. Bills (tv, broadband, gas and electricity) are divided between 3. Close to douglas and the city with the 216 and...","14 Fort Hill, Moneygurney, Douglas, Cork, Douglas, Co. Cork"
€650 monthly,"Available 24th August - Large, warm, comfortable home. The room is spacious with a single bed, two lockers, desk, chair, three seater couch and clothes hanging. Bathroom is next to the bedroom.","Upper Rathduff, Grenagh, Cork, Rathduff, Co. Cork"
€650 monthly,"Available 23rd August - Sunny, well equipped, all mod cons, semi-d. Close to transport, bus 222, 5km to cork city. Shared full bathroom
bills included

this is an all-female home, with children. No smoking, drinking, visitors or parties allowed...","Muskerry Estate, Ballincollig, Co. Cork"
€135 weekly,"Available 1st October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Drishane Road, Millstreet, Co. Cork"
€500 monthly,"Available 1st September - Fantastic single room in a new-build situated in castle court a new development of family homes, in whitechurch village. Plenty of parking available. Car recommended/required
living with professionals in friendly respect...","Winterfield Close, Castle Court, Whitechurch, Co, Whitechurch, Co. Cork"
€600 monthly,"Available Now - Single and double room available for rent in blarney tower(t23fv18)
600 for single room including bills(600 deposit)
700 for double room including bills(700 deposit) 
10 mins drive from apple hollyhill 
15 mins from city...","3 Laureston Crescent, Tower, Blarney, Cork, Cloghroe, Co. Cork"
€200 weekly,"Available 6th October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Laureston Crescent, Blarney, Co. Cork"
€150 weekly,"Available 31st August - The property is 10 minutes outside of macroom, and not on a bus route. So would suit someone with a car. However,it is easy access to macroom,  and the macroom and killarney bypass. We have two mini maltese puppies on th...","Macroom, Co. Cork, Reananeree, Co. Cork"
€160 weekly,"Available 20th October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Convent Road, Blackrock, Co. Cork"
€150 weekly,"Available 1st November - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Montenotte Grove, Montenotte, Co. Cork"
€170 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Clonmore, Mallow, Co. Cork"
€400 monthly,Available Now - Single room to rent in 4 bed house. Sharing with 3 other girls. All female house. House has all mod cons including high speed fibre broadband. House located 10 mins walk to town centre. Bills extra. Rent paid 1 month in ...,"Glencullen, Fermoy, Co. Cork"
€150 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Lake Road, Cobh, Co. Cork"
€460 monthly,"Available 4th September - 1 single room for 1person to let in a 4 bedroom house. Located in a quiet area, close to the city. 2 mins walk to the bus stop. Sharing with 3 working professionals in their early 30s. Someone clean and respectful to sta...","104 Ashmount Court, Tivoli, Cork, Silversprings, Co. Cork"
