prices,available,address
"€1,000 monthly",Available Now - Large studio type room in modern spacious apartment in tallaght. Property available only for 6 months. Apartment sharing with one person. You will have a lot of privacy and space here. Perfect location - tallaght hospita...,"Alexander House, Belgard Square North, Tallaght, Dublin 24"
€850 monthly,"Available Now - (short term accommodation)

this is a lovely neighborhood within a very new state. Easy access to dart, bus within 2 mins walk; 

clondalkin/fonthill station is just the opposite which has direct access to connolly stati...","Seven Mills, Clonburris, Dublin 22, Ireland, Dublin 22"
"€1,100 monthly","Available Now - Double bedroom ensuite   available  immediately, €1,100. 00 pm. Shelbourne road, non- smoking home. Gated development,  all mod cons. 5 mins shops, restaurants, pubs. 5 mins to dart, bus, ballsbridge village, leisur...","2 Berkeley Terrace, Ballsbridge, Dublin 4"
"€1,100 monthly",Available 8th September - 2 bedroom apartment located in carpenterstown. Large double room with use of own bathroom for rent. €1100 monthly excluding bills. Bills total to €100 monthly on average. Close to blanchardstown shopping centre...,"Bracken Park Drive,castleknock,dublin 15, Carpenterstown, Dublin 15"
€800 monthly,"Available Now - Family home suit a responsible person, sharing with a couple and child in house. Close to shops, leisure facilities,  transport - buses and the luas to city centre. Heating and electricity included,  no parking available...","St.brigids, Clondalkin, Dublin 22"
"€1,300 monthly","Available Now - Double room available for rent (for individual only) in perfectly located south dublin surburb. Transport links to city and close to ucd. Available from 1st august
utilities/bills included
parking available
no working fr...","White Oaks, Roebuck Road, Dublin 14, Goatstown, Dublin 14"
€750 monthly,"Available 29th September - Double bedroom available with own balcony in this 3 bed apartment. You are sharing a duplex apartment(over 2 levels) with 2 other females. Ideally were looking for a person thats sociable, quiet & clean. The apartment ha...","Woodbrook Court, Castleknock, Dublin 15"
€750 monthly,"Available 5th September - The  bedrooms apartment/shared  is completely renovated and newly equipped with stylish furniture and modern bathrooms, a new kitchen and everything you need! is  a beautifully furnished, large living room and t. V ,wire...","Whiteacre Crescent, Dublin 9, Whitehall, Dublin 9"
€190 weekly,"Available Now - Ucd/trinity - college rental
this is 4/5 night  rental only !
occasional weekends on request only. Available august 2024 for college terms rental deposit can hold this room


euro rent¬190 + bills¬20 weekly for bills for...","Kilcross Dublin 18, Sandyford, Dublin 18"
€900 monthly,Available Now - Beautiful home in the center of howth with double room available for short term rent: 3-6 months.,"4 Saint Mary's Place, Howth, Co. Dublin, Howth, Dublin 13"
€400 monthly,"Available Now - -- weekends only --  room not available mid week 


1 double bedroom available to rent. 2 bedroom apartment on fourth floor with one shared bathroom. Owner occupied. Right beside charlestown shopping center.","Melville Cove - Weekends Only, Finglas, Dublin 11"
€900 monthly,"Available 28th August - We have a spacious double room available,

private bathroom

the property is in an ideal location,

10min from dublin airport
2 min walk from swords express
that will bring you to city centre in 20mins,

decent size back...","Holywell Mews,swords,co. Dublin, Kinsealy, Co. Dublin"
"€1,000 monthly","Available 8th September - Recently renovated house 10 mins walk to the luas stop, 10 mins drive from m50 and n11, plenty of bus routes nearby. This is a big enough house for shared living space. Double room upstairs with also their own living roo...","Lakelands Crescent,stillorgan,blackrock,co. Dublin, Kilmacud, Co. Dublin"
"€1,100 monthly","Available Now - Modern and stylish double room in top floor apartment with large balcony in beacon south quarter. Welcome to your new home in beacon south quarter! 
this immaculate top-floor apartment is in excellent condition and will ...","The Edges, Beacon South Quarter, Sandyford, Dublin 18"
"€1,050 monthly",Available Now - Double room in newly decorated three bed one bathroom house in howth village for short term rent. 1050 euro per month. Possible long term. Very close to dart station. Must have reference.,"69 Grace O'malley Road, Howth, Dublin 13"
"€1,000 monthly","Available Now - Large double bedroom ready to rent on the 1st

this house is in rusheeny village blanchardstown 

looking for someone chill to join the house. Email for a viewing","Rusheeny Village, Clonsilla, Dublin 15"
"€1,000 monthly",Available Now - Available from august1st. Lovely double room for  reliable person  sharing with myself and my son. The room is available for 6 months.... Providing everyone happy!. All bills are  included in price of the rent. Gas heati...,"The Meadows West, Belgard Heights, Dublin 24"
"€1,400 monthly","Available 15th September - Discover a better standard of living at cherry lane, the latest prestigious address in the wonderful new suburb of cherrywood. Perfectly situated at the edge of dublin city, in a picturesque spot between the mountains an...","Tully Green, Cherrywood, Co. Dublin"
"€1,200 monthly","Available Now - *long term accommodation available

*en-suite room available in a brand new built 3 bed 3 bath house with all the basic amenities. *brand new super king sized bed with new luxurious memory foam mattress
* a car parking s...","Graydon,newcastle,co. Dublin, Baldonnell, Dublin 22"
€800 monthly,"Available 1st September - Modern 2 bedroom apartment with balcony. - double bedroom for sole use
- main bathroom for sole use (no en-suite)
- available for minimum 12 months
- tenant must be friendly, tidy and clean
- includes 1 parking space
- r...","Saint Edmunds Park, Juliet Square, Dublin 22, Dublin 20"
