prices,available,address
"€1,100 monthly","Available 1st September - ~ shared accommodation in 4 bedroomed apartment
~ newly refurbished
~ hot water on demand
~ all bills included /gas/electricity/wifi/refuse
~ high spec fully modernised property in central location


bedrooms are fitted ...","131a Galtymore Road, Dublin 12, Inchicore, Dublin 8"
€230 weekly,"Available Now - Located in hollystown dublin 15 area
access to 40e bus which goes to broombridge luas via finglas 
double room with own private bathroom 
full access to kitchen, wifi available 
parking is also available","Hollystown, Dublin 15, Hollystown, Dublin 15"
"€1,270 monthly","Available Now - A spacious en-suite master bedroom is available in a two-bedroom, two-bathroom apartment located in the fernbank complex near dundrum centre. The area has excellent public transport links and local amenities nearby. Ther...","Fernbank Court, Churchtown, Dublin 14"
€250 weekly,Available Now - Stunning double room to rent from the 1st of august- december 2024 in a quiet new development in citywest. Everything in the house is brand new and the large double room is so cosy & comfortable with fresh new carpet,"Kingswood Cross,dublin 22, Citywest, Co. Dublin"
€800 monthly,"Available Now - Ensuite spacious double bedroom with wifi on separate floor
5 mins to adamstown railway station, 2 mins to bus stop c2,c1 city centre, trinity college, l51,l53 buses to liffey valley and blanchardstown","Saint Helens, Adamstown,lucan,co. Dublin, Adamstown, Co. Dublin"
€175 weekly,"Available Now - Dublin host families are proud to offer a double bedroom in this fabulous property located only 7 kilometres from dublin city centre. Ideally located close to ballyfermot college of further education, chrrry orchard indu...","Rossmore Avenue, Ballyfermot, Dublin 10"
€900 monthly,"Available Now - Double room in the much sought after suburb of ballyboden. Only a stones throw from the foot of the dublin mountains, the property is also served by a direct bus route to the city centre. The number 15b stops about 2minu...","Prospect View,dublin 16, Ballyboden, Dublin 16"
€875 monthly,"Available Now - -colman grimes estate agents***luxurious room rental -*** includes all bills and services ***we are delighted to present this high end room with ensuite*** 

** viewing ** reply with your details via email and we will co...","Avonmore Close, Tallaght, Dublin 24"
€995 monthly,"Available 1st September - Have 2 all bills included rooms available. Very nice, cosy, quiet, unique style property. ""hotel layout""

long term or short term. All inclusive room available in ex b&b property in the seaside town of howth, dublin 13. ...","Bailey Green Road, Howth, Dublin 13"
€695 monthly,"Available 23rd September - Available from sept 23rd only. 1 year lease 

1 x double bedroom (with single bed) to let in malahide village in newly renovated home. Sharing with 3 other girls. Females only. On dart line to city
bus connections to cit...","Sea Road, Malahide, Malahide, Co. Dublin"
€950 monthly,Available Now - Dublin city lettings are delighted to offer a bright and spacious bedroom to rent. The room is fully furnished in a comfortable and modern house. Kitchen is equipped with all mod cons. The location is easily accessible t...,"2 Spire View, Dublin 7, Navan Road (D7), Dublin 7"
€775 monthly,"Available Now - Double bedroom for 1, available in a two bedrooms flat. To be shared with another person who is working from home, so the ideal flatmate should not be working from home. The flat is cozy and in the city center. No smoker...","Apartment 93, Libertie, Christchurch, Dublin 8"
"€1,100 monthly",Available Now - 2 bedroom apartment available for rent. One month rent and deposit required. Available to move in immediately.,"Cruise Park Drive, Dublin 15, Tyrrelstown, Dublin 15"
"€1,150 monthly","Available Now - Double room with ensuite bathroom:


excluded bill: gas

location: 
- 6 min walk to blanchardstown shopping mall. - 5 min walk to connolly hospital 
- 5 min walk to bustop towards the city centre","Waterville Row,Waterville,Dublin 15, Dublin 15"
"€1,250 monthly","Available 1st September - Spacious double bed ensuite room available in south dublin

(strictly no to couples)

about the property:
- *type:* 3 bedroom house
- *current tenants:* 2
- *available room:* spacious double bed ensuite room

features:
-...","Mulvey Park,dundrum,dublin 14, Windy Arbour, Dublin 14"
"€1,200 monthly","Available 8th September - References required
large double room with fitted wardrobes, bedside lockers, built in shelves and soundproofing. Quiet apartment block with mainly owners with ballsbridge and sandymount on the door stop. Near bus and da...","Sydenham Road, Ballsbridge, Dublin 4, Ballsbridge, Dublin 4"
€650 monthly,Available Now - One large double bedroom and one single room available in a3 rated house. Sharing with an easygoing working professional. - 2 minutes walking distance to luas. - 5 minutes walking distance to bus stop. - 6-7 minutes walk...,"The Close, Citywest Village, Dublin 24, Citywest, Co. Dublin"
€975 monthly,"Available Now - 15 minutes walk to grafton street, st. Stephen's green, camden street, wexford street and temple bar. 5 minutes walk to spar, tesco express and lidl. 5 minutes walk to restaurants/cafes such as bastible, noshington, the ...","Geoffrey Keating Road, South Circular Road, Dublin 8"
€800 monthly,"Available Now - Hi all. We have a freshly decorated double room, in our 3 bed semi detached house, in superb condition located in a quiet cul-de-sac in the beautiful tree lined charlemont housing estate to rent. There is one tenant (fem...","332 Charlemont, Drumcondra, Dublin 3"
€995 monthly,"Available 1st September - Large studio ensuite room available in house with;

* own entrance to studio with wooden floors
* new power shower with stainless steel heated towel rail
* led lighting
* double bed with sofa and desk
* alarmed 
* use of...","Greenville, Blackrock, Co. Dublin"
