prices,available,address
€700 monthly,"Available 1st September - Please only contact via email :)
short term let
 in spacious period house in an excellent location beside the naas road, the black horse luas stop and near the m50. The bedroom advertised is a single bedroom at the front...","Jamestown Road, Inchicore, Inchicore, Dublin 8"
€760 monthly,"Available 1st September - 2 x single room available from sept 2024 for 1 year

€760 per month each + €100 for utilities

1 x shared bedroom available from sept 2024 for 1 year

€660 each per month each + €100 for utilities

10...","10a Seafield Road, Booterstown, Co. Dublin"
€570 monthly,"Available 31st August - Beautiful spacious house. N 11 bus route ( 46a, 145, 75 )  ucd - 10 minutes on the bus. Contact whatsapp message only ! bill's are not included in the rent !","Belmont Lawn,stillorgan,blackrock,co. Dublin, Stillorgan, Co. Dublin"
€175 weekly,"Available 1st September - 3 bed end of terrace house,   3 bathrooms large backgarden kitchen + utility. House clean and kept well. Parking also available. Beside bus stop celbridge train station 3km away. Female only","Ballynakelly Newcastle,co. Dublin, Baldonnell, Dublin 22"
"€1,100 monthly","Available Now - Seeking only female 

7 day stay euro 245 per week / euro 1100 per month

5 day stay euro 175 per week / euro 760 per month


all utilities included in price


only if  can view please call, 
no overseas calle...","Marley Grange, Grange Road, Rathfarnham, Dublin 14"
€250 weekly,Available 23rd August - Room available. Double room with private bathroom.,"34 Fairhaven Walk, Castleknock, Dublin 15, Navan Road (D7), Dublin 7"
€735 monthly,"Available 24th August - Hi,

we are a 3 people, 2 girls (irish), 1 boy (brazilian), in our mid to late 20s looking for another housemate. We all work full time. The room is bright and spacious and comes with its own bathroom (not shared) and is...","Deansgrange Road, Blackrock, Co. Dublin, Kill O\' The Grange, Co. Dublin"
€200 weekly,"Available Now - Dublin host families are proud to offer a large single bedroom in this stunning property located only 3. 5 kilometres from dublin city centre. Ideally situated close to crumlin college of further education, dbs, griffith...","Crumlin Road, Crumlin, Dublin 12"
€150 weekly,"Available Now - Dublin host families are proud to offer a single bedroom in this stunning semi detached property located only 8 kilometres from dublin city centre. Ideally located close to ballyfermot college of further education, cherr...","Oakcourt Avenue, Palmerstown, Dublin 20"
€200 weekly,"Available 1st September - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Willow Park Crescent, Glasnevin, Dublin 11"
€230 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Poddle View, Kimmage, Dublin 12"
€185 weekly,"Available 23rd November - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Willsbrook Green, Lucan, Co. Dublin"
€180 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Bolbrook Villas, Tallaght, Dublin 24"
€175 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Saint Maelruan's Park, Tallaght, Dublin 24"
€550 monthly,"Available 1st September - Single room available to rent ***monday to friday***. I will be viewing the room week commencing 19th august. The room has a bed, desk, chair and built in wardrobe. Shared bathroom and a downstairs wc. The house is in a ...","Kimmage/crumlin, Crumlin, Dublin 12"
€750 monthly,"Available Now - A 3 bedroom house in a very quiet area, close to the hospital & dcu, bus routes etc.","Coolgreena Close, Dublin 9, Beaumont, Dublin 9"
€950 monthly,"Available Now - Nice room in a nice house in terenure. Bus stop straight across the road for 15a, s4 & 74 about 15 minutes to city centre also one minute walk to 54a & 9 buses. All bills included, bathroom shared with our 20 year old da...","Terenure, Terenure, Dublin 6w"
€620 monthly,"Available 1st September - Female only


large single room with own bathroom available 5 days (monday - friday)

please whatsapp and tell us a bit about yourself. This home is owner occupied.","49 Mount Bellew Crescent, Lucan, Co. Dublin"
€930 monthly,"Available 1st September - 2 large bedrooms available, in a furnished 3 bedroom apartment on a 12 month lease. Bedroom 1 available from 1st september 2024 is 3. 6 metres by 2. 6 metres (area 9. 36 square metres), with built-in wardrobe. Bedroom 2 ...","Ridge Hall Apartments,shanganagh Road,ballybrack,glenageary,co. Dublin, Ballybrack, Co. Dublin"
€720 monthly,"Available 1st September - Room available in house sharing with 3 girls, 24-27. All working full time. Clean and quiet house. All very social. Big sitting room & balcony. Move in date: tbc, likely mid september. Deposit: €690
rent: €720
...","Harold Bridge Court, Harold's Cross, Dublin 6w"
