prices,available,address
€650 monthly,"Available 20th September - Double room for rent past claregalway/knockdoe. In a peaceful detached four bedroom house, sharing with two others. Recently renovated, cosy, rustic, homely home. Looking for a sound/tidy person. A car is required. 20 mi...","Claregalway, Knockdoe, Tuam, Corofin, Galway, Claregalway, Co. Galway"
€385 monthly,"Available 2nd September - Please note the room is only available for three nights per week: tuesday, wednesday, and thursday. It is not available for the other nights of the week. It is available from september to december 2024 or to april 2025. ...","Garrai De Brun, Fort Lorenzo, Salthill, Co. Galway"
€700 monthly,"Available 30th August - Room available in two-bedroom apartment

a beautifully furnished two-bedroom apartment in moycullen village is available immediately. This first-floor apartment features an open-plan kitchen, dining, and living area wi...","Apartment 1 , Coill Rainne, Killarainy, Moycullen, Moycullen, Co. Galway"
€600 monthly,"Available Now - Beautiful room with queen sized bed available and own bathroom (outside of the room) in a modern and quiet state, sharing with two other person in their 40s and 50s. Good atmosphere. 600€ + bills (broadband, electri...","Radharc Na Farraige, Ballymoneen Road, Galway, Ballymoneen, Co. Galway"
€160 weekly,"Available 1st September - **weekday rental only - no weekends**

double room in a 3 bedroom house. Wi-fi, bins, heating and electricity/gas all included. 3min walk to bus stop, the 404 and 409 route goes every 10 mins or so and stops outside atu/...","Durabhan, Roscam, Roscam, Co. Galway"
"€1,400 monthly","Available 1st September - Short term rental - 4 months - september to december 
beautiful large ensuite room available in recently renovated 3 bedroom home in oranmore village, person will mostly have the home themselves over the 4 months. House ...","Abhainn Na R, Oranmore, Galway, Oranmore, Co. Galway"
€150 weekly,"Available Now - Room:
lovely spacious double non smoking room available for rent. There is plenty of storage available in the room. The room overlooks a lovely backgarden. House and area:
the house is always kept tidy and clean. The a...","St Josephs Place, Ballinasloe, Co. Galway"
€625 monthly,"Available Now - Spacious room in shared house in athenry

rent: €625 per month (minimum 6-month stay)
deposit: one month's rent upfront
bills: shared

enjoy the convenience of living just off the motorway with easy access to athenr...","41 Lorro Gate, Athenry, Co. Galway, Athenry, Co. Galway"
€900 monthly,"Available 25th August - Double room in newly built house for rent
available from 25th august for 9 mths approx. The room is available sunday night to friday morning only(5 day rental)
bus stop outside the door of house
5min walk from univers...","Upper Newcastle, Galway, Newcastle, Co. Galway"
€170 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Sea Road, Clarinbridge, Co. Galway"
€600 monthly,"Available 1st September - Newly renovated 3 bed end of terrace house in quite estate in ballybrit. 10/15 mins walking distance to atu,briarhill shopping centre and parkmore. Also 15 minute bus ride from bottom of estate to city centre. For studen...","Ballybrit, Ballybrit, Co. Galway"
"€1,400 monthly","Available 1st September - Large, ensuite, double room available for rent within a 2-bedroom, 2-bathroom apartment in the blake at fanan development. The building was completed in september 2022, so everything is (relatively) new and at a high sta...","Apartment 10 , Block A, Fnn, Letteragh Road, Rahoo, Letteragh, Co. Galway"
€516 monthly,"Available 9th September - Double room to rent in a house/apartment 10-15mins walk / 5 min drive from galway city centre. Sharing house with two others. Really nice/chilled out house and housing estate, free parking, free bins, kitchen, sitting ro...","Gleann Na Tra, Sandy Road, Galway, Bohermore, Co. Galway"
€537 monthly,"Available 23rd August - Double room available in loughrea, 5 minutes drive to loughrea. 30 minutes drive to galway city. Location is not suitable for people who do not drive a car is essential. Its  a beautiful space. Sharing with two ladies in...","Clostoken, Loughrea, Co. Galway, Craughwell, Co. Galway"
€565 monthly,"Available 1st September - A double room available in prime location in galway city. Suitable for a college student. Sunday night - friday morning only (5 nights). Newly built house that is fully furnished. Owner occupied - a quiet location, no pa...","Garraí Na Sailí, Letteragh Road, Galway, Ballagh, Co. Galway"
€485 monthly,"Available 9th September - Hello,
quite residential area just off salthill prom.","Ocean Wave,salthill,galway, Galway City Centre, Co. Galway"
€900 monthly,"Available 15th September - Loft with own bathroom available for rent, references essential. **call / text 0862706366 only**

do not email, emails will not be checked

call or text 0862706366","12 Cloch Rd, Rahoon, Galway, Clybaun, Co. Galway"
€600 monthly,Available 1st September - Double room. Shared bathroom with one person. Available for 9 months only.,",bothar Stiofain Rahoon, Galway, Keeraun, Co. Galway"
€170 weekly,"Available 1st September - Two bedroom en-suite in family home with 2 small children, weekday only option available.","Renmore, Renmore, Co. Galway"
€650 monthly,Available 23rd August - This is a calm and relaxed  2 bedroom apartment with one double room available to rent. Monday to friday only for 9+ months ( academic term) sharing with professional female. Unfortunately i cannot respond to 7 day reque...,"Cuirt Seoige, Bohermore, Co. Galway"
