prices,available,address
€750 monthly,"Available Now - Room to rent , sharing with 3 others, on the bus route and close to boston scientific , medtronic and atu","Bayview Rise, Ballybane, Co. Galway"
€700 monthly,"Available Now - En-suite room to rent 

5 minutes walking distance to buses for galway and 10 minutes walking distance to trains and town centre. All bills are included in the rent. Please message me for more details","., Athenry, Co. Galway"
€600 monthly,"Available 22nd August - Monday- friday no weekend stay. ( you can arrive sunday evening )

1x double room €600 per month,

professional males non smoker

price includes all bills, no added extras with your own parking space available

high...","Clochran, Kilcloghans, Tuam, Co. Galway"
€550 monthly,"Available 1st September - 5 double bedrooms for sharing are available on kinvarra main street. Term - 1 year minimum
availability - september 1st

rent
€550monthly  (excluding utility bills)
deposit 
1 month (same as rent)

the first month's...","Circle K, Kinvara, Galway, Kinvara, Co. Galway"
€550 monthly,"Available 22nd August - Double room in quiet terraced house
5 min from atu
sharing utility bills
viewing thursday 22nd between 3-6pm
086 3555 283","Lios An Uisce,murrough,galway, Murroogh, Co. Galway"
€750 monthly,"Available Now - Double bedroom available now. Private bathroom with a bath and shower. Sharing with an owner occupier couple. Looking for quiet person

references required. Deposit €750

bills are included","Plas Na Dige, Dyke Road, Galway City Centre, Co. Galway"
€700 monthly,"Available 1st September - A beautiful bright room with king sized bed available in a modern, quiet house sharing with one other person. This room is available on a sun eve to fri basis. Rent is €700 per month which includes all bills. Free p...","Available Sun Eve To Friday Only Ballymoneen Rd, Knocknacarra, Co. Galway"
€230 weekly,"Available 1st September - Double room to rent for academic year. Available for 1 tenant only. Situated 15 mins walk from gmit/atu campus, 2 mins walk from tesco and bus stop. 35 mins walk from eyre square. Internet, electricity, bins, heating inc...","Monivea Park ,galway, Mervue, Co. Galway"
€150 monthly,Available 31st August - Double room available living with one other person bills included.,"Maunsell's Road, Taylor\'s Hill, Co. Galway"
€165 weekly,Available Now - King size bedroom with main use of separate living space & exclusive use of main bathroom including all utility bills available to rent. 5-minute drive to m6 / m18 motorways and located 4 km from towns of athenry and cra...,"Castleturvin, Athenry, Co. Galway"
€800 monthly,"Available Now - Hello folks, beautiful double room available to move into straight away. The house is 2kms from craughwell village,20-25 from galway city,40 mins from athlone,45-50 from limerick. You will be sharing with good decent peo...","Carrigeen, Craughwell, Galway, Craughwell, Co. Galway"
"€1,500 monthly","Available Now - Spacious double ensuite room in 2-bed apartment - available now!

overview:
i am looking to rent out a spacious double ensuite room with attached bathroom in my 2-bedroom apartment. The living room and kitchen will be...","Block C, Fnn, Letteragh Road, Rahoon, Galway, Ballagh, Co. Galway"
€600 monthly,"Available Now - Large double spacious bedroom, with modern amenities, well looked after and clean house in a beautiful community. Features:
modern kitchen
high speed internet
car parking
tumble dryer/ washing machine

the property is lo...","The Birches Close,galway Road,tuam,co. Galway, Tuam, Co. Galway"
€500 monthly,"Available 1st September - 2 double rooms (1x large double and 1x small double) to rent in headford town, co. Galway. All bills included except electricity which will be ÷ amongst all in the house. If you are interested, please leave a message/ema...","Headford,galway, Headford, Co. Galway"
€155 weekly,"Available Now - Ensuite double bedroom
all modern facilities
utility bills shared

working from home not suitable!

the house is located just 5 mins walk from the main street of craughwell village itself. Access to the motorway is just ...","16 Sl Na Gcapall, Craughwell,galway, Craughwell, Co. Galway"
€600 monthly,"Available Now - Rooms available close all amenities: near potiuncula hospital, bus stop, aldi, lidl, tesco, super valu. Quiet, clean, tidy, non-smoking, no party, respectful, responsible person to share fully furnished. Newly decorated ...","Esker Hills , Brackernagh, Ballinasloe, Co. Galway"
€500 monthly,Available Now - 2 minute walk to spar. 5 minute drive to aldi and supervalu,"Cahercourt,dublin Road,loughrea,co. Galway, Caheronaun, Co. Galway"
€650 monthly,Available 1st September - Double room  available in clean and quiet house. Arp welcome. The other rooms in the house are occupied by international students. Bills shared between people in the house. 5 minutes walk to bus stop and aldi. 10 minutes...,"An Logan, Knocknacarra, Co. Galway"
€650 monthly,"Available Now - Please read if location is suited for you


double room for rent!

located in a quiet village of clonbur, the room features ample storage, and modern furnishings. Enjoy access to a fully equipped kitchen, cozy living are...","Clonbur, Co. Galway, Clonbur, Co. Galway"
€125 weekly,"Available 1st September - Room available for rent in athenry, sunday evening to friday afternoon. Quiet house on a quiet street, five minute walk from town centre, bus stop, train station. Five minute drive to motorway. Suitable for somebody base...","Caheroyan Avenue, Athenry, Co. Galway"
