prices,available,address
€425 monthly,"Available Now - 1 double room available in a 5 bed property, not owner occupied. Sharing with 4 easy going, working professionals in their early/mid 20s. Clean, tidy house in a quiet residential estate, 5 minute walk to supervalu and cl...","Hawthorns, Castletroy, Co. Limerick"
€160 weekly,"Available 1st September - Spacious double room available to rent, sharing house with 2 other males. Short walking distance to the uhl, raheen business park and crescent shopping centre. Public transport service on doorstep. Easy access to motorwa...","Avonmore Road, Raheen, Co. Limerick"
€170 weekly,Available Now - Bungalow house close to raheen industrial estate.,"Correisc, Rootiagh, Patrickswell, Limerick, Derryknockane, Co. Limerick"
€125 weekly,"Available Now - Monday to friday let only. 1 large double room with private bathroom available from september 1st. 3 month trail period, possibility to be extended.. 500 deposit and 4 weeks rent in advance. Bills included. Please email ...","Shanagarry, Killaghteen, Co. Limerick"
€580 monthly,"Available 8th September - **sunday evening/monday to friday only. *** no parking available 

double room to rent in a quiet residential area (duplex apartment) with use of spacious main bathroom. Electric shower. Apartment is approx 20 min walk...","Drominbeg, Rhebogue, Co. Limerick"
€200 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Skehanagh, Crecora, Co. Limerick"
€650 monthly,"Available 1st September - Large double room available with spacious bathroom in a house in raheen available. Ideal location: next door to raheen industrial estate, down the road to the shop and 15min walk to crescent shopping centre and universit...","1a The Santuary Churchill Meadows Raheen Limerick, Raheen, Co. Limerick"
€235 weekly,"Available Now - Stunning modern house in the heart of limerick less than 2km walk from the city. All amenities are within walking distance such as jetland shopping centre, tus, lawns tennis club, cinema, butchers, post office etc, two m...","Ashbrook, Ennis Road, Limerick, Caherdavin, Co. Limerick"
€850 monthly,"Available 1st September - *monday to friday only  - will suit someone returning home at the weekends*

one double bedroom available in castletroy for september to may (9 months). Sole access to the spacious main bathroom, next door to the bedroom...","Castlemara, Annacotty, Castletroy, Co. Limerick"
€700 monthly,"Available Now - Large double ensuite room in shared serviced property. Mixed house with lovely housemates seeking a female occupant for 1 year or more. Price includes fibre broadband, maintenance, waste charges and monthly professional ...","Cois Ghruda,castletroy,limerick, Castletroy, Co. Limerick"
€150 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Churchquarter, Kilbehenny, Co. Limerick"
€700 monthly,"Available 1st September - Rooms to rent in raheen area 
located in ideal location with great facilities nearby 
walking distance to public transport facilities 
located near southcourt hotel and industrial estate 

no smoking or pets allowed...","Raheen, Limerick, Raheen, Co. Limerick"
€500 monthly,"Available 1st September - Double room with ensuite for €1000 p/m

single room - shared bathroom €500 p/m

*** rooms will not be shared by two occupants

currently occupied by one full-time worker in his 30s, looking for quiet, clean res...","Evanwood,golf Links Road,castletroy,limerick, Kilbane, Co. Limerick"
€110 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Cedarville, Abbeyfeale, Co. Limerick"
€155 weekly,"Available Now - Monday to friday 

very quiet and central location. Near a host of amenities. Comfortable, spacious and quiet house. (not a party house)
balcony in living room with beautiful river views.","Steamboat Quay, Dock Road, Limerick, Limerick City Centre, Co. Limerick"
€600 monthly,"Available 1st September - Fully furnished two storey house with a large back garden. Located in castlemahon village which is a 5 minute drive from newcastlewest. Shop , pub and rural bus link service available within a short walking distance of t...","1 Riverside, Castlemahon, Co. Limerick"
€850 monthly,"Available Now - Rent monday - friday only  

includes- gas, electricity, tv and refuse 
________________

great location: 
5. 5 km from city centre 
3 km from ul
2km from castletroy shopping centre - odeon cinema, supervalu, bella itali...","Glanntn,golf Links Road,castletroy,limerick, Monaleen, Co. Limerick"
€150 weekly,"Available 1st November - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Orchard Avenue, Rathkeale, Co. Limerick"
€650 monthly,"Available 25th August - Hi,

two rooms available in this fine house from roughly 25. 08. 1gb internet is free, bins are free. Esb and gas will be split between the tenants - usually €40 pppm. The room is 650 and has a double bed with woode...","Rathbane, Limerick, Rathbane, Co. Limerick"
€600 monthly,"Available 1st September - One double bedroom available in a newly renovated property. Owner occupied. Located within walking distance of university hospital limerick, crescent shopping centre, mary immaculate college and raheen industrial estate....","Inis Lua,father Russell Road,limerick, Dooradoyle, Co. Limerick"
