prices,available,address
€125 weekly,"Available 1st September - Looking for someone to share with one other female. Must be clean and tidy. House is fitted with all mod cons , own parking space. Good sized double bedroom with en-suite. House is situated 5 mins drive from industrial e...","Riverpark, Gracedieu, Co. Waterford"
€700 monthly,Available Now - Double room to rent with built in wardrobe. Bills included gas/electric bins and internet. House is located in quiet estate with all the mod cons. There is secure parking and bus stop just outside the estate. 15 mins wal...,"7 The Avenue, Bellfield, Ferrybank, Waterford, Ferrybank, Co. Waterford"
€450 monthly,"Available Now - Double room available in a spacious house, sitting room, dining room, 3 bathrooms, 5 bedrooms and large rear garden, on street parking. House is shared with 4 others. Double room is a recently refurbished downstairs room...","Sealy Close, Earls Court, Grantstown, Co. Waterford"
€150 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Kilmore West, Tallow, Co. Waterford"
€750 monthly,Available Now - Guiry real estate are pleased to bring to the rental market 2 double rooms with ensuite room available to let. | house is shared and it is well maintained. | you will only be sharing the kitchen | gas bills and electrici...,"Oakwood, Cork Road, Waterford City, Co. Waterford"
€600 monthly,"Available Now - Lovely room in a large 2 storey house beside the sea
nicely decorated to highest standard with beautiful views. Close to all amenities beside the town of dungarvan and greenway. Occupants friendly and welcoming. Picture...","12 Landsend, Abbeyside, Dungarvan, Dungarvan, Co. Waterford"
€650 monthly,Available 25th August - Large beautiful country house.. Only 5mins from city and 5mins to all local motorways.. Large double room / ensuite/ walk in wardrobe / fab kitchen and large sunroom / all mod appliances.. Beautiful views. Quiet relaxed ...,"N25, Ferrybank, Co. Waterford"
€700 monthly,"Available 1st September - Large double bedroom to rent in an a rated home in a new, well maintained estate in beautiful tramore. A monday to friday rent is preferable. 15 min drive to waterford city. Bus stop at the top of the road outside the es...","Cluain Larach,tramore,waterford, Tramore, Co. Waterford"
€430 monthly,"Available Now - Please kindly submit your enquiry by email only...1. Submit your enquiry via the advert/email 
2. I will respond with an email 
3. Submit your references and requested information by return email 
4. I will then review y...","Lismore Park, Waterford, Butlerstown, Co. Waterford"
€120 weekly,"Available 1st October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Convent Road, Lismore, Co. Waterford"
€600 monthly,Available 24th August - Double and single room available to rent in 3 bedroom house in clarinwood (bills not included). Conveniently located on the ring road close to bus stops with easy access to uhw and setu. 20 minute walk to the beach and 5...,"Clarinwood, Tramore, Co. Waterford"
€150 weekly,"Available 26th October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Coolfin Grove, Portlaw, Co. Waterford"
€600 monthly,Available 1st September - (abbey rentels )  (student ) acomadation waterford city ferreybank  faceing tesco shopping centre. On  monthly basis  your own private. Doubleroom... Wi-fi. Sat tv. /bus stop at corner. /walking distince to town /. Parki...,"13 Abbeypark ., Ferrybank, Co. Waterford"
€150 weekly,"Available Now - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Shannon Drive, Kilcohan, Co. Waterford"
€110 weekly,"Available 5th October - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Shanagarry, Grantstown, Co. Waterford"
€550 monthly,"Available 1st September - Student accommodation
female only 
located in a quiet cul de sac. Great central location. Within walking distance of colleges and city centre. 1 room with private bathroom. Single and double rooms available also
contact ...","Henry Street, Waterford, Waterford City Centre, Co. Waterford"
€100 weekly,"Available 1st September - *** s  e  t  u   and     s o l a s -  - 2  m i n s w a l k ***, ,fast wireless internet broadband, secure parking, electric showers, beautiful modern house. Students for short and long term courses welcome

please email ...","Lismore Park, Waterford City, Co. Waterford"
€160 weekly,Available 1st September - Double room available from september. 2km from town centre and 2 mins from the greenway. Bills included. References and deposit required. Please apply by text with a detailed self description to arrange a viewing.,"Clonea Rd. Abbeyside., Dungarvan, Co. Waterford"
€195 weekly,"Available 8th September - Property description 

excellent condition bright and modern well maintained apartment to rent 
located in the heart of waterford city!

within walking distance to all amenities! 
public transport, college, university ho...","John Street,waterford, Waterford City Centre, Co. Waterford"
€725 monthly,"Available Now - This property features five spacious rooms available for rent, each offering a unique blend of style and functionality. Comfortable bed, study desk, ample closet space, spacious wardrobe, bright and airy ambiance with co...","15 Briot Drive, Templars Hall, Kilbarry, Waterford City, Co. Waterford"
