prices,available,address
€130 weekly,"Available Now - Large single room to rent in quiet family home mon-fri only. Suitable for female. Convenient to supervalu, lidl, kingfisher gym under 5 mins. City within 15 mins walk. Wifi, bills and modern appliances included. Serious ...","21 Ashley Avenue, Cherrymount, Waterford, Waterford City Centre, Co. Waterford"
€150 weekly,"Available 7th November - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Creadan View, Passage East, Co. Waterford"
€130 weekly,Available 1st September - Sunday evening to friday accommodation only. Bills included.,"3 Hawthorn Drive, Bellfield Ferrybank, Ferrybank, Co. Waterford"
€450 monthly,"Available Now - 3 bedroom newly refurbished house with parking available. Close to lidl, kingfisher gym and bus stops going to city centre. Weekly cleaning services included in the price. Current tenants are two young male professionals...","Ashley Avenue,cherrymount,waterford, Waterford City Centre, Co. Waterford"
€550 monthly,"Available 1st September - Student accommodation
female only 
located in a quiet cul de sac. Great central location. Within walking distance of colleges and city centre. 1 room with private bathroom. Single and double rooms available also
contact ...","Henry Street, Waterford, Waterford City Centre, Co. Waterford"
€100 weekly,"Available 1st September - *** s  e  t  u   and     s o l a s -  - 2  m i n s w a l k ***, ,fast wireless internet broadband, secure parking, electric showers, beautiful modern house. Students for short and long term courses welcome

please email ...","Lismore Park, Waterford City, Co. Waterford"
€390 monthly,Available 1st September - Single bedroom available for rent for a minimum of one year in a nicely decorated and recently updated house. Walking distance of waterford university hospital and ardkeen. Very close to waterford city. The carpeted sing...,"Powerscourt, Dunmore Road, Waterford City Centre, Co. Waterford"
€150 weekly,"Available 30th September - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Lisfennel Close, Dungarvan, Co. Waterford"
€130 weekly,"Available 26th September - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Ashbrook Crescent, Kilcohan, Co. Waterford"
€466 monthly,"Available 2nd September - Student accommodation available 2nd september'24 at a price of €466. 00 per room per month. This apartment includes 3 bedrooms, 2 bathrooms and is located just a five minute walk from the city centre. Television and...","Aylesbury Manor, Poleberry, Waterford City, Co. Waterford"
€466 monthly,"Available 2nd September - Student accommodation********rooms available in 2 and 3 bedroom apartments****

 ***due to a high level of interest we cannot process enquiries over the phone. We respectfully ask you to apply online and please do not ca...","Aylesbury, Waterford City, Co. Waterford"
€466 monthly,"Available 2nd September - *** available now for 2nd september 2024 **** student accommodation****

secure gated city center apartment complex

free broadband, cable tv and refuse included for free 

the accommodation comprises of 3 single bedroom...","Aylesbury Manor, Waterford City, Co. Waterford"
€466 monthly,"Available 2nd September - Student accommodation********rooms available in 2 and 3 bedroom apartments****

 ***due to a high level of interest we cannot process enquiries over the phone. We respectfully ask you to apply online and please do not ca...","Aylesbury, Waterford City, Co. Waterford"
€520 monthly,"Available 1st September - One single bedroom available in a four bedroom house. Mains gas heating, new gas boiler and triple glazed windows. Rent includes broadband and bins. Rent is 520. 00 per month. No pets. No smoking in the house. Large scre...","Closegate, Waterford City Centre, Co. Waterford"
€150 weekly,"Available 1st September - Hosting power agency, providing affordable accommodation in ireland since 2014. We are proud to advertise this fully furnished and comfortable private room. The house is equipped with all modern conveniences and you shar...","Lakeside, Tramore, Co. Waterford"
